Date,open,high,low,close
2024-09-30 01:00:00,2658.25,2663.46,2657.84,2662.61
2024-09-30 02:00:00,2662.61,2664.95,2661.6,2663.5
2024-09-30 03:00:00,2663.52,2665.9,2661.17,2661.56
2024-09-30 04:00:00,2661.55,2664.28,2647.17,2652.61
2024-09-30 05:00:00,2652.61,2656.3,2650.18,2652.53
2024-09-30 06:00:00,2652.52,2655.48,2652.14,2653.48
2024-09-30 07:00:00,2653.49,2655.77,2652.03,2655.75
2024-09-30 08:00:00,2655.77,2659.23,2654.28,2657.73
2024-09-30 09:00:00,2657.72,2660.02,2655.61,2657.72
2024-09-30 10:00:00,2657.8,2660.51,2650.62,2650.86
2024-09-30 11:00:00,2650.55,2656.52,2650.55,2653.4
2024-09-30 12:00:00,2653.45,2653.55,2648.29,2649.62
2024-09-30 13:00:00,2649.62,2649.95,2635.69,2636.83
2024-09-30 14:00:00,2636.84,2642.75,2634.36,2641.52
2024-09-30 15:00:00,2641.5,2644.17,2634.81,2638.87
2024-09-30 16:00:00,2638.85,2642.02,2630.43,2635.62
2024-09-30 17:00:00,2635.61,2636.07,2628.7,2633.13
2024-09-30 18:00:00,2633.14,2636.33,2630.18,2633.79
2024-09-30 19:00:00,2633.79,2639.33,2633.29,2639.0
2024-09-30 20:00:00,2639.01,2641.71,2636.29,2637.69
2024-09-30 21:00:00,2637.71,2638.23,2624.59,2631.43
2024-09-30 22:00:00,2631.42,2631.67,2626.42,2630.96
2024-09-30 23:00:00,2630.93,2635.09,2630.69,2634.53
2024-10-01 01:00:00,2634.35,2634.94,2632.13,2634.94
2024-10-01 02:00:00,2634.99,2636.14,2634.44,2635.62
2024-10-01 03:00:00,2635.61,2637.09,2633.77,2636.41
2024-10-01 04:00:00,2636.38,2639.68,2635.4,2639.62
2024-10-01 05:00:00,2639.65,2639.8,2634.9,2636.31
2024-10-01 06:00:00,2636.29,2638.5,2634.42,2637.87
2024-10-01 07:00:00,2637.87,2640.31,2637.29,2639.53
2024-10-01 08:00:00,2639.53,2644.24,2639.45,2642.97
2024-10-01 09:00:00,2642.97,2645.46,2642.53,2645.16
2024-10-01 10:00:00,2645.23,2647.25,2641.6,2645.52
2024-10-01 11:00:00,2645.52,2646.74,2642.29,2646.43
2024-10-01 12:00:00,2646.46,2649.16,2645.3,2648.57
2024-10-01 13:00:00,2648.58,2650.42,2648.11,2650.26
2024-10-01 14:00:00,2650.26,2651.99,2646.8,2650.11
2024-10-01 15:00:00,2650.13,2656.57,2650.08,2651.41
2024-10-01 16:00:00,2651.42,2671.67,2647.9,2667.41
2024-10-01 17:00:00,2667.27,2669.71,2657.3,2659.12
2024-10-01 18:00:00,2659.01,2665.32,2653.75,2663.36
2024-10-01 19:00:00,2663.36,2673.04,2661.11,2666.37
2024-10-01 20:00:00,2666.38,2671.71,2661.12,2662.4
2024-10-01 21:00:00,2662.42,2664.81,2657.49,2661.02
2024-10-01 22:00:00,2661.0,2664.22,2658.08,2658.57
2024-10-01 23:00:00,2658.57,2664.0,2657.8,2663.37
2024-10-02 01:00:00,2663.25,2663.25,2661.29,2662.0
2024-10-02 02:00:00,2662.05,2662.18,2660.07,2660.28
2024-10-02 03:00:00,2660.28,2660.56,2656.84,2657.31
2024-10-02 04:00:00,2657.34,2661.89,2656.2,2660.5
2024-10-02 05:00:00,2660.49,2661.03,2658.72,2660.04
2024-10-02 06:00:00,2660.01,2661.44,2655.04,2655.26
2024-10-02 07:00:00,2655.29,2656.38,2652.52,2654.07
2024-10-02 08:00:00,2654.06,2656.08,2644.44,2647.93
2024-10-02 09:00:00,2647.92,2650.63,2647.1,2649.56
2024-10-02 10:00:00,2649.63,2655.41,2649.39,2655.33
2024-10-02 11:00:00,2655.33,2655.73,2648.57,2652.34
2024-10-02 12:00:00,2652.33,2655.42,2651.51,2652.8
2024-10-02 13:00:00,2652.82,2654.28,2648.72,2649.07
2024-10-02 14:00:00,2649.07,2652.48,2647.91,2649.44
2024-10-02 15:00:00,2649.57,2652.88,2643.68,2649.5
2024-10-02 16:00:00,2649.5,2660.76,2649.13,2659.44
2024-10-02 17:00:00,2659.46,2663.26,2647.33,2647.99
2024-10-02 18:00:00,2647.98,2650.6,2641.02,2649.82
2024-10-02 19:00:00,2649.83,2652.21,2648.02,2649.63
2024-10-02 20:00:00,2649.6,2652.69,2647.07,2652.07
2024-10-02 21:00:00,2652.08,2655.81,2651.04,2653.95
2024-10-02 22:00:00,2653.98,2658.82,2653.57,2658.47
2024-10-02 23:00:00,2658.47,2659.77,2658.21,2658.67
2024-10-03 01:00:00,2658.51,2660.24,2657.91,2659.41
2024-10-03 02:00:00,2659.41,2661.13,2659.33,2660.19
2024-10-03 03:00:00,2660.19,2662.79,2657.35,2657.7
2024-10-03 04:00:00,2657.71,2658.82,2654.89,2658.11
2024-10-03 05:00:00,2658.11,2658.54,2655.28,2655.68
2024-10-03 06:00:00,2655.67,2657.85,2653.23,2655.97
2024-10-03 07:00:00,2655.94,2656.44,2654.55,2654.91
2024-10-03 08:00:00,2654.9,2656.54,2651.76,2653.17
2024-10-03 09:00:00,2653.17,2657.4,2651.24,2655.79
2024-10-03 10:00:00,2655.79,2656.13,2643.43,2645.16
2024-10-03 11:00:00,2645.17,2647.34,2641.74,2645.06
2024-10-03 12:00:00,2645.02,2647.46,2640.89,2644.76
2024-10-03 13:00:00,2644.76,2647.99,2643.94,2646.66
2024-10-03 14:00:00,2646.66,2648.89,2643.58,2647.87
2024-10-03 15:00:00,2647.87,2653.93,2641.98,2642.33
2024-10-03 16:00:00,2642.31,2651.24,2641.52,2646.67
2024-10-03 17:00:00,2646.64,2654.2,2636.9,2650.07
2024-10-03 18:00:00,2650.07,2654.47,2647.85,2648.72
2024-10-03 19:00:00,2648.72,2661.17,2648.44,2659.92
2024-10-03 20:00:00,2659.96,2662.02,2655.05,2656.62
2024-10-03 21:00:00,2656.64,2659.56,2655.32,2657.4
2024-10-03 22:00:00,2657.39,2659.29,2656.87,2657.85
2024-10-03 23:00:00,2657.82,2657.83,2655.76,2656.01
2024-10-04 01:00:00,2656.25,2657.09,2654.3,2655.93
2024-10-04 02:00:00,2655.93,2656.51,2654.23,2655.7
2024-10-04 03:00:00,2655.71,2657.43,2655.35,2657.16
2024-10-04 04:00:00,2657.15,2659.08,2656.68,2658.17
2024-10-04 05:00:00,2658.19,2663.39,2657.81,2661.96
2024-10-04 06:00:00,2661.97,2663.48,2660.71,2660.99
2024-10-04 07:00:00,2660.96,2665.91,2660.57,2664.0
2024-10-04 08:00:00,2663.99,2667.77,2663.99,2667.33
2024-10-04 09:00:00,2667.33,2667.46,2659.6,2660.14
2024-10-04 10:00:00,2660.15,2663.03,2658.63,2660.93
2024-10-04 11:00:00,2660.94,2661.45,2658.76,2658.93
2024-10-04 12:00:00,2658.94,2660.08,2656.77,2657.37
2024-10-04 13:00:00,2657.37,2660.62,2657.08,2658.19
2024-10-04 14:00:00,2658.19,2662.42,2657.35,2661.21
2024-10-04 15:00:00,2661.22,2661.37,2631.91,2638.72
2024-10-04 16:00:00,2638.7,2655.13,2637.5,2651.83
2024-10-04 17:00:00,2651.9,2660.96,2646.45,2658.4
2024-10-04 18:00:00,2658.43,2670.15,2647.86,2653.21
2024-10-04 19:00:00,2653.41,2653.8,2641.87,2645.34
2024-10-04 20:00:00,2645.29,2650.47,2644.0,2650.1
2024-10-04 21:00:00,2650.13,2650.78,2644.37,2645.62
2024-10-04 22:00:00,2645.68,2652.09,2642.79,2651.6
2024-10-04 23:00:00,2651.57,2653.96,2649.77,2653.57
2024-10-07 01:00:00,2649.56,2652.85,2649.56,2650.77
2024-10-07 02:00:00,2650.73,2652.39,2649.74,2650.19
2024-10-07 03:00:00,2650.2,2651.14,2647.78,2649.31
2024-10-07 04:00:00,2649.43,2652.01,2643.83,2646.14
2024-10-07 05:00:00,2646.21,2648.64,2645.28,2645.31
2024-10-07 06:00:00,2645.25,2647.49,2643.89,2647.46
2024-10-07 07:00:00,2647.47,2648.66,2646.37,2646.82
2024-10-07 08:00:00,2646.66,2646.79,2640.01,2640.65
2024-10-07 09:00:00,2640.8,2643.91,2639.73,2643.11
2024-10-07 10:00:00,2643.17,2652.84,2642.03,2652.06
2024-10-07 11:00:00,2652.13,2656.39,2651.12,2652.27
2024-10-07 12:00:00,2652.27,2657.3,2650.68,2656.61
2024-10-07 13:00:00,2656.52,2658.47,2655.2,2655.39
2024-10-07 14:00:00,2655.33,2659.61,2655.1,2656.79
2024-10-07 15:00:00,2656.97,2659.16,2637.74,2640.09
2024-10-07 16:00:00,2639.86,2653.71,2639.7,2642.7
2024-10-07 17:00:00,2642.76,2647.84,2640.45,2640.82
