Date,open,high,low,close,tick_volume
2022-01-20 10:15:00,1841.42,1842.13,1840.59,1841.33,1373
2022-01-20 10:30:00,1841.33,1841.37,1839.07,1839.89,1176
2022-01-20 10:45:00,1839.92,1840.59,1839.63,1839.95,1009
2022-01-20 11:00:00,1839.96,1841.11,1839.71,1840.75,1169
2022-01-20 11:15:00,1840.73,1841.25,1839.16,1839.38,1506
2022-01-20 11:30:00,1839.38,1839.73,1838.86,1839.14,1204
2022-01-20 11:45:00,1839.08,1839.16,1837.04,1838.55,1157
2022-01-20 12:00:00,1838.55,1838.83,1838.3,1838.7,875
2022-01-20 12:15:00,1838.7,1839.63,1838.43,1838.45,944
2022-01-20 12:30:00,1838.45,1838.47,1836.74,1837.57,989
2022-01-20 12:45:00,1837.57,1837.59,1836.9,1837.2,619
2022-01-20 13:00:00,1837.25,1837.71,1836.91,1837.47,915
2022-01-20 13:15:00,1837.44,1837.64,1836.79,1837.39,754
2022-01-20 13:30:00,1837.37,1839.65,1837.37,1838.62,792
2022-01-20 13:45:00,1838.61,1839.6,1838.27,1839.52,756
2022-01-20 14:00:00,1839.51,1839.6,1838.66,1838.67,962
2022-01-20 14:15:00,1838.6,1838.71,1835.95,1837.3,1342
2022-01-20 14:30:00,1837.3,1839.51,1837.29,1839.44,1419
2022-01-20 14:45:00,1839.44,1840.57,1838.5,1840.44,1327
2022-01-20 15:00:00,1840.42,1841.09,1839.09,1839.52,2026
2022-01-20 15:15:00,1839.52,1842.73,1839.31,1842.07,2013
2022-01-20 15:30:00,1842.07,1846.92,1841.95,1843.08,3521
2022-01-20 15:45:00,1843.03,1846.65,1842.48,1846.45,2634
2022-01-20 16:00:00,1846.44,1847.01,1844.37,1846.71,2468
2022-01-20 16:15:00,1846.73,1847.09,1843.64,1844.85,2589
2022-01-20 16:30:00,1844.86,1846.25,1842.73,1843.29,3481
2022-01-20 16:45:00,1843.29,1846.86,1841.96,1846.25,3168
2022-01-20 17:00:00,1846.22,1847.92,1845.1,1845.59,2871
2022-01-20 17:15:00,1845.53,1846.11,1844.13,1845.84,2571
2022-01-20 17:30:00,1845.83,1846.4,1843.78,1844.38,2260
2022-01-20 17:45:00,1844.39,1847.08,1844.36,1846.83,2310
2022-01-20 18:00:00,1846.83,1846.86,1844.23,1844.76,2041
2022-01-20 18:15:00,1844.66,1845.14,1838.69,1840.43,1947
2022-01-20 18:30:00,1840.37,1840.98,1839.36,1840.68,1886
2022-01-20 18:45:00,1840.68,1842.23,1840.47,1841.81,1443
2022-01-20 19:00:00,1841.8,1843.43,1841.8,1843.43,1314
2022-01-20 19:15:00,1843.44,1843.72,1842.28,1842.86,1338
2022-01-20 19:30:00,1842.9,1843.14,1842.14,1842.48,951
2022-01-20 19:45:00,1842.49,1843.27,1842.29,1842.37,965
2022-01-20 20:00:00,1842.38,1842.56,1840.79,1841.26,1470
2022-01-20 20:15:00,1841.27,1842.36,1841.22,1842.2,1225
2022-01-20 20:30:00,1842.15,1842.26,1840.44,1841.76,1029
2022-01-20 20:45:00,1841.75,1842.05,1841.35,1841.55,772
2022-01-20 21:00:00,1841.57,1841.57,1840.6,1840.6,833
2022-01-20 21:15:00,1840.57,1840.75,1839.53,1840.25,895
2022-01-20 21:30:00,1840.22,1841.69,1840.15,1840.54,873
2022-01-20 21:45:00,1840.54,1840.78,1839.8,1840.14,932
2022-01-20 22:00:00,1840.13,1840.54,1839.81,1839.87,725
2022-01-20 22:15:00,1839.27,1839.74,1838.88,1839.1,967
2022-01-20 22:30:00,1839.1,1839.34,1837.81,1838.41,1375
2022-01-20 22:45:00,1838.39,1838.73,1837.32,1838.05,1418
2022-01-20 23:00:00,1838.07,1838.81,1838.0,1838.68,1000
2022-01-20 23:15:00,1838.67,1838.92,1838.15,1838.48,706
2022-01-20 23:30:00,1838.49,1838.89,1838.07,1838.43,802
2022-01-20 23:45:00,1838.43,1839.53,1838.31,1839.53,463
2022-01-21 01:00:00,1839.26,1839.41,1838.62,1838.89,350
2022-01-21 01:15:00,1838.88,1839.78,1838.73,1839.62,709
2022-01-21 01:30:00,1838.86,1838.96,1838.07,1838.41,445
2022-01-21 01:45:00,1838.41,1839.14,1838.0,1838.99,338
2022-01-21 02:00:00,1839.02,1839.33,1837.68,1838.4,1111
2022-01-21 02:15:00,1838.4,1839.01,1837.93,1838.56,892
2022-01-21 02:30:00,1838.56,1839.12,1838.39,1838.85,758
2022-01-21 02:45:00,1838.85,1839.24,1838.43,1838.57,838
2022-01-21 03:00:00,1838.61,1839.03,1836.38,1836.74,2073
2022-01-21 03:15:00,1836.74,1837.88,1836.29,1836.73,1656
2022-01-21 03:30:00,1836.73,1838.58,1836.56,1837.82,1263
2022-01-21 03:45:00,1837.87,1838.59,1837.09,1838.39,1487
2022-01-21 04:00:00,1838.39,1839.68,1837.74,1839.27,1289
2022-01-21 04:15:00,1839.25,1840.12,1838.46,1840.12,979
2022-01-21 04:30:00,1840.12,1841.13,1839.52,1841.07,1332
2022-01-21 04:45:00,1841.1,1841.55,1840.17,1841.19,1361
2022-01-21 05:00:00,1841.21,1841.72,1840.7,1841.39,1086
2022-01-21 05:15:00,1841.41,1841.9,1840.81,1841.78,948
2022-01-21 05:30:00,1841.78,1842.04,1841.32,1841.55,672
2022-01-21 05:45:00,1841.56,1841.59,1840.73,1840.81,659
2022-01-21 06:00:00,1840.83,1841.04,1840.4,1841.03,527
2022-01-21 06:15:00,1841.03,1841.34,1840.74,1841.19,468
2022-01-21 06:30:00,1841.21,1841.6,1840.99,1841.56,473
2022-01-21 06:45:00,1841.53,1841.96,1841.46,1841.51,477
2022-01-21 07:00:00,1841.38,1841.41,1840.48,1840.75,538
2022-01-21 07:15:00,1840.73,1841.13,1840.57,1840.89,436
2022-01-21 07:30:00,1840.91,1841.55,1839.99,1841.43,1037
2022-01-21 07:45:00,1841.45,1842.12,1840.99,1841.37,992
2022-01-21 08:00:00,1841.37,1841.4,1840.13,1840.35,1001
2022-01-21 08:15:00,1840.31,1840.76,1840.13,1840.28,897
2022-01-21 08:30:00,1840.28,1841.12,1839.79,1840.25,1113
2022-01-21 08:45:00,1840.23,1841.38,1839.99,1840.39,1204
2022-01-21 09:00:00,1840.4,1842.57,1839.89,1842.13,1037
2022-01-21 09:15:00,1842.13,1842.76,1841.0,1841.02,1110
2022-01-21 09:30:00,1841.02,1841.2,1838.38,1839.34,1456
2022-01-21 09:45:00,1839.34,1839.55,1837.07,1838.07,1441
2022-01-21 10:00:00,1838.07,1839.11,1836.66,1837.26,1471
2022-01-21 10:15:00,1837.28,1837.52,1831.63,1833.41,2294
2022-01-21 10:30:00,1833.39,1833.43,1831.82,1832.65,1657
2022-01-21 10:45:00,1832.66,1833.17,1828.39,1831.66,1942
2022-01-21 11:00:00,1831.65,1832.39,1830.51,1831.47,1618
2022-01-21 11:15:00,1831.48,1832.47,1831.08,1831.22,1199
2022-01-21 11:30:00,1831.22,1833.31,1831.15,1833.24,1188
2022-01-21 11:45:00,1833.25,1834.36,1833.08,1834.14,947
2022-01-21 12:00:00,1834.14,1835.81,1833.57,1834.46,1013
2022-01-21 12:15:00,1834.45,1834.87,1834.01,1834.84,836
2022-01-21 12:30:00,1834.84,1835.16,1834.2,1835.14,749
2022-01-21 12:45:00,1835.13,1835.16,1833.53,1833.99,789
2022-01-21 13:00:00,1833.98,1834.32,1833.57,1833.9,877
2022-01-21 13:15:00,1833.84,1834.8,1833.65,1833.65,918
2022-01-21 13:30:00,1833.66,1833.83,1832.88,1833.49,1084
2022-01-21 13:45:00,1833.48,1833.97,1832.02,1832.03,1113
2022-01-21 14:00:00,1832.02,1834.2,1831.14,1833.99,1424
2022-01-21 14:15:00,1833.93,1836.48,1833.76,1836.41,1243
2022-01-21 14:30:00,1836.41,1836.49,1833.74,1834.12,1270
2022-01-21 14:45:00,1834.1,1835.81,1833.76,1835.21,1518
2022-01-21 15:00:00,1835.2,1840.08,1834.35,1837.28,2784
2022-01-21 15:15:00,1837.25,1839.52,1836.84,1838.51,2516
2022-01-21 15:30:00,1838.34,1840.52,1837.56,1839.81,2367
2022-01-21 15:45:00,1839.78,1842.0,1839.65,1841.37,1954
2022-01-21 16:00:00,1841.37,1843.24,1840.43,1842.15,2510
2022-01-21 16:15:00,1842.16,1842.84,1841.42,1842.35,2042
2022-01-21 16:30:00,1842.31,1842.74,1840.09,1841.28,3384
